,Unemployment_rate
0,0.018380527
1,0.117241379
2,0.024096386
3,0.050125313
4,0.061097712
5,0.177226407
6,0.095652174
7,0.021167415
8,0.057342277999999997
9,0.059173845
10,0.065409275
11,0.065162085
12,0.09208386
13,0.023042836
14,0.006334343
15,0.087143069
16,0.042875544
17,0.059824231
18,0.061930782999999996
19,0.011689692
20,0.063172771
21,0.09693146
22,0.087557114
23,0.027788805
24,0.058239614
25,0.07060957400000001
26,0.060023041
27,0.047858702999999995
28,0.074392523
29,0.128426299
