,date,season,decades_bin,neutral,playoff,team,team_code,elo,elo_prob,score,result
0,1920-09-26,1920,1,0,0,RII,1,1503.9470000000001,0.8246512009492516,48,1.0
2,1920-10-03,1920,1,0,0,AKR,2,1503.42,0.8242120973373386,43,1.0
4,1920-10-03,1920,1,0,0,RCH,3,1503.42,0.8242120973373386,10,1.0
6,1920-10-03,1920,1,0,0,DAY,4,1493.0020000000002,0.5758191240920725,14,1.0
7,1920-10-03,1920,1,0,0,COL,5,1504.908,0.4241808759079275,0,0.0
8,1920-10-03,1920,1,0,0,RII,1,1516.108,0.6441710901126361,45,1.0
10,1920-10-03,1920,1,0,0,CHI,6,1368.3329999999999,0.6829855714913705,20,1.0
12,1920-10-03,1920,1,0,0,CBD,7,1504.6879999999999,0.8252671507782987,48,1.0
14,1920-10-03,1920,1,0,0,BFF,8,1478.004,0.8020003005487033,32,1.0
16,1920-10-10,1920,1,0,0,CBD,7,1516.8029999999999,0.8350967251138723,42,1.0
18,1920-10-10,1920,1,0,0,BFF,8,1489.757,0.8190246337513903,51,1.0
20,1920-10-10,1920,1,0,0,DHR,9,1499.6670000000001,0.8210600128920061,40,1.0
22,1920-10-10,1920,1,0,0,AKR,2,1515.2779999999998,0.6371462416975575,37,1.0
23,1920-10-10,1920,1,0,0,COL,5,1482.475,0.3628537583024425,0,0.0
24,1920-10-10,1920,1,0,0,CHT,10,1300.0,0.32369581012897025,0,0.5
25,1920-10-10,1920,1,0,0,ARI,11,1493.0020000000002,0.6763041898710298,0,0.5
26,1920-10-10,1920,1,0,0,DAY,4,1515.434,0.6609062119549988,0,0.5
27,1920-10-10,1920,1,0,0,CTI,12,1464.506,0.33909378804500123,0,0.5
28,1920-10-10,1920,1,0,0,RCH,3,1510.934,0.8303914086394528,66,1.0
30,1920-10-10,1920,1,0,0,RII,1,1542.135,0.7186125156699114,26,1.0
31,1920-10-10,1920,1,0,0,HAM,13,1444.259,0.28138748433008864,0,0.0
32,1920-10-10,1920,1,0,0,CHI,6,1386.533,0.7052228213582555,25,1.0
34,1920-10-17,1920,1,0,0,ARI,11,1487.625,0.8262089539380489,33,1.0
36,1920-10-17,1920,1,0,0,RII,1,1559.405,0.7817358026736219,0,0.0
37,1920-10-17,1920,1,0,0,CHI,6,1402.774,0.21826419732637814,7,1.0
38,1920-10-17,1920,1,0,0,RCH,3,1523.6070000000002,0.8404198708258926,0,0.5
40,1920-10-17,1920,1,0,0,CBD,7,1527.799,0.6704588627828753,7,1.0
41,1920-10-17,1920,1,0,0,CTI,12,1469.414,0.32954113721712475,0,0.0
42,1920-10-17,1920,1,0,0,AKR,2,1540.5520000000001,0.8530716765977777,13,1.0
45,1920-10-17,1920,1,0,0,COL,5,1457.2,0.6296570560816882,0,0.0
46,1920-10-17,1920,1,0,0,CHT,10,1305.377,0.3089862674970486,12,1.0
47,1920-10-17,1920,1,0,0,DHR,9,1510.1960000000001,0.6910137325029514,0,0.0
48,1920-10-17,1920,1,0,0,DAY,4,1510.527,0.7016249406064283,44,1.0
49,1920-10-17,1920,1,0,0,HAM,13,1426.99,0.2983750593935717,0,0.0
50,1920-10-17,1920,1,0,0,BFF,8,1502.536,0.8234735946274689,28,1.0
52,1920-10-24,1920,1,0,0,DHR,9,1472.342,0.6606584732908434,6,1.0
53,1920-10-24,1920,1,0,0,COL,5,1421.606,0.3393415267091566,0,0.0
54,1920-10-24,1920,1,0,0,RCH,3,1513.225,0.8322407496806097,21,1.0
56,1920-10-24,1920,1,0,0,BFF,8,1512.265,0.8401525693602044,38,1.0
58,1920-10-24,1920,1,0,0,AKR,2,1547.362,0.7104523923311487,7,1.0
