,Player,Play_Code,ActSceneLine_Code,PlayerLinenumber_Code,PlayerLine_Code,Player_Code
0,WESTMORELAND,9,67,7,494,411
1,FALSTAFF,9,118,28,1079,135
2,POINS,9,118,60,249,314
3,SIR WALTER BLUNT,9,159,6,868,361
4,HOTSPUR,9,134,21,712,202
5,EARL OF WORCESTER,9,145,41,202,126
6,GADSHILL,9,145,21,224,169
7,BARDOLPH,9,297,16,183,32
8,HOTSPUR,9,297,0,225,202
9,PRINCE HENRY,9,369,2,746,320
10,PRINCE HENRY,9,343,41,1056,320
11,PRINCE HENRY,9,351,80,607,320
12,BARDOLPH,9,356,110,935,32
13,FALSTAFF,9,358,128,1052,135
14,PRINCE HENRY,9,360,137,554,320
15,GLENDOWER,9,435,10,64,173
16,MORTIMER,9,404,39,253,281
17,HOTSPUR,9,418,62,529,202
18,KING HENRY IV,9,506,2,305,222
19,SIR WALTER BLUNT,9,468,7,714,361
20,FALSTAFF,9,482,28,1057,135
21,FALSTAFF,9,493,73,619,135
22,EARL OF WORCESTER,9,642,16,500,126
23,FALSTAFF,9,669,6,1082,135
24,EARL OF WORCESTER,9,669,16,728,126
25,ARCHBISHOP OF YORK,9,735,2,882,19
26,EARL OF WORCESTER,9,848,7,825,126
27,EARL OF WORCESTER,9,867,2,443,126
28,EARL OF DOUGLAS,9,927,1,462,125
29,KING HENRY IV,9,943,11,720,222
30,FALSTAFF,9,938,27,988,135
31,KING HENRY IV,9,957,7,784,222
32,BEDFORD,11,957,14,231,36
33,CHARLES,11,85,0,654,73
34,CHARLES,11,123,18,66,73
35,GLOUCESTER,11,153,12,421,174
36,TALBOT,11,176,3,584,384
37,TALBOT,11,185,2,512,384
38,BURGUNDY,11,233,7,640,52
39,BURGUNDY,11,288,3,835,52
40,TALBOT,11,338,20,946,384
41,Lawyer,11,363,19,709,252
42,MORTIMER,11,375,0,653,281
43,PLANTAGENET,11,371,13,766,313
44,SOMERSET,11,439,12,515,364
45,OF WINCHESTER,11,405,35,968,292
46,JOAN LA PUCELLE,11,484,9,157,213
47,BEDFORD,11,484,39,131,36
48,JOAN LA PUCELLE,11,544,17,831,213
49,TALBOT,11,620,4,872,384
50,KING HENRY VI,11,604,29,613,224
51,TALBOT,11,662,0,424,384
52,LUCY,11,723,9,689,250
53,TALBOT,11,774,16,72,384
54,TALBOT,11,795,2,426,384
55,KING HENRY VI,11,821,6,682,224
56,JOAN LA PUCELLE,11,918,0,632,213
57,SUFFOLK,11,906,38,418,368
58,JOAN LA PUCELLE,11,947,2,201,213
59,YORK,11,937,28,30,413
60,KING HENRY VI,11,953,2,740,224
61,SUFFOLK,12,62,0,371,368
62,CARDINAL,12,11,14,259,62
63,SALISBURY,12,31,27,920,348
64,DUCHESS,12,99,4,876,115
65,Second Petitioner,12,140,9,37,374
66,GLOUCESTER,12,129,34,487,174
67,PETER,12,139,63,35,309
68,BUCKINGHAM,12,182,20,777,51
69,SUFFOLK,12,259,40,860,368
70,BUCKINGHAM,12,223,97,904,51
71,BOTH,12,301,11,477,45
72,PETER,12,339,16,1002,309
73,GLOUCESTER,12,364,8,388,174
74,SUFFOLK,12,436,2,206,368
75,GLOUCESTER,12,404,24,378,174
76,YORK,12,419,40,4,413
77,YORK,12,425,65,800,413
78,KING HENRY VI,12,499,23,755,224
79,KING HENRY VI,12,463,30,155,224
80,SUFFOLK,12,478,52,634,368
81,SUFFOLK,12,489,65,878,368
82,CARDINAL,12,528,4,288,62
83,Captain,12,644,24,767,94
84,HOLLAND,12,669,11,44,198
85,WILLIAM STAFFORD,12,659,62,156,412
86,KING HENRY VI,12,735,2,260,224
87,SMITH,12,789,5,985,363
88,SAY,12,790,32,351,351
89,KING HENRY VI,12,802,0,830,224
90,IDEN,12,649,5,587,207
91,BUCKINGHAM,12,844,9,942,51
92,YORK,12,809,40,479,413
93,CLIFFORD,12,874,5,854,81
94,RICHARD,12,909,1,658,338
95,KING HENRY VI,13,58,27,195,224
96,KING HENRY VI,13,24,77,509,224
97,QUEEN MARGARET,13,24,111,245,334
98,CLIFFORD,13,148,1,184,81
99,CLIFFORD,13,179,4,651,81
100,YORK,13,168,16,778,413
101,Messenger,13,250,9,233,282
102,RICHARD,13,216,20,581,338
103,CLIFFORD,13,290,2,74,81
104,RICHARD,13,271,40,278,338
105,GEORGE,13,334,10,60,172
106,KING HENRY VI,13,377,2,560,224
107,CLIFFORD,13,383,0,708,81
108,First Keeper,13,446,2,94,154
109,KING EDWARD IV,13,494,0,333,221
110,LADY GREY,13,453,61,5,234
111,GLOUCESTER,13,474,80,58,174
112,OXFORD,13,546,21,886,299
113,KING LEWIS XI,13,527,50,861,228
114,GLOUCESTER,13,601,0,549,174
115,Post,13,648,34,3,327
116,Third Watchman,13,697,4,704,401
117,QUEEN ELIZABETH,13,697,9,240,331
118,CLARENCE,13,786,13,455,76
119,MONTAGUE,13,797,18,218,279
120,KING EDWARD IV,13,800,15,947,221
121,GLOUCESTER,13,800,36,221,174
122,KING EDWARD IV,13,914,0,88,221
123,QUEEN MARGARET,13,948,12,485,334
124,KING EDWARD IV,13,964,36,124,221
125,GLOUCESTER,13,970,14,76,174
126,COUNTESS,3,47,13,1025,91
127,PAROLLES,3,17,39,1027,304
128,KING,3,105,2,521,219
129,Clown,3,131,5,1033,98
130,COUNTESS,3,127,34,1097,91
131,HELENA,3,139,51,919,191
132,PAROLLES,3,248,20,1005,304
133,KING,3,214,48,359,219
134,Clown,3,269,3,1036,98
135,LAFEU,3,331,25,972,236
136,KING,3,316,56,874,219
137,PAROLLES,3,326,87,979,304
138,Clown,3,357,15,207,98
139,BERTRAM,3,357,27,290,40
140,COUNTESS,3,487,10,847,91
141,HELENA,3,458,41,511,191
142,MARIANA,3,577,5,375,265
143,First Lord,3,588,1,425,155
144,Second Lord,3,584,32,383,372
145,PAROLLES,3,623,7,994,304
146,DIANA,3,671,7,75,106
147,First Lord,3,717,12,437,155
148,First Lord,3,700,51,959,155
149,PAROLLES,3,707,89,1058,304
150,HELENA,3,748,0,234,191
151,LAFEU,3,776,26,1061,236
152,PAROLLES,3,862,2,528,304
153,KING,3,928,12,717,219
154,KING,3,911,27,357,219
155,BERTRAM,3,919,55,104,40
156,DIANA,3,919,100,614,106
157,ORLANDO,5,52,16,355,296
158,CHARLES,5,19,39,1081,73
159,CELIA,5,116,29,1066,71
160,ORLANDO,5,83,80,615,296
161,ROSALIND,5,136,1,547,343
162,CELIA,5,124,37,898,71
163,First Lord,5,253,5,2,155
164,ORLANDO,5,335,8,711,296
165,CORIN,5,366,29,513,86
166,ORLANDO,5,380,1,1010,296
167,ORLANDO,5,390,14,279,296
168,AMIENS,5,386,35,736,11
169,CORIN,5,501,15,145,86
170,CELIA,5,465,35,348,71
171,ORLANDO,5,479,82,389,296
172,ROSALIND,5,490,116,737,343
173,JAQUES,5,537,16,966,211
174,CELIA,5,563,19,986,71
175,ROSALIND,5,581,8,190,343
176,JAQUES,5,630,11,527,211
177,ORLANDO,5,608,59,264,296
178,ROSALIND,5,704,0,1015,343
179,OLIVER,5,734,21,848,293
180,AUDREY,5,852,3,127,23
181,ROSALIND,5,888,11,991,343
182,First Page,5,932,5,638,159
183,TOUCHSTONE,5,946,27,821,392
184,JAQUES DE BOYS,5,940,43,702,212
185,CLEOPATRA,4,42,9,446,80
